Content,Score
Cantik,5
"Untuk saat ini twitter tetap primadona, masih asing di threads \U0001f92d",5
Gak terlalu suka,2
Good lahh,5
tidak ada yang menarik sampai dengan saat ini di threads. Masih kalah sama sebelah. Sorry saya uninstall \U0001f60a,2
"gak suka bgtt, ini app udah 3x nge-update sendirii.. padahal gak setting update otomatis..",1
Good,4
Mantapp.. Setelah seminggu lebih menggunakan threads ini \U0001f60a,5
"udah bagus cuma kurang fitur translate nya, so please adain fitur translate. butuh bangett!",4
APLIKASI GA JELAS KEBANYAKAN LIMIT. FOLLOWERS DAN FOLLOWINGNYA GA LENGKAP VITURNYA. MASIH MENDING MAIN IG AJA....... HASTAG GA ADA.,1
Ya not bad,5
nurcA,4
Fantastic,5
Munculkanlah di situs web. Biar bisa di akses layaknya twitter sama facebook . Ini aplikasi pesaing twitter,3
"Sudah cukup bagus, akan lebih baik jika ada fitur terjemahan kedalam bahasa yang dapat di tentukan, dan terdapat seting dark mode dan sebagainya",3
"tolong buatkan threadt yang web, supaya orang yang main pc bisa langsung buka threadt. saya mohon \U0001f603",5
plagiat,1
mantap,5
Tambahkan fitur podcast,3
Aplikasi nya sangat bagus dan menarik,5
"Pertama buka threads berasa cuma scroll ke atas ke bawah, udah seminggu jdi lebih nyaman aja sih main thread. Keren siih",4
Mantap banyak GA nya,5
please add feature to save the pict in HD quality,4
Bagus,5
Kasih 4 dulu nanti kalo bikin tajirr melintir baru bintang 5,4
Jelek enggak sesimple twitter,1
KENAPA THREADS SAYA GABISA DIPAKAI KOMEN,1
berharap bisa ngesave foto yg diposting tanpa harus di screenshot,5
Bagus,5
Sering keluar sendiri,2
bolone Elon musk,1
tolong knp dm jadi pd ilanggg mau nangis \U0001f62d,3
"Lumayan ok lah saling ter-integrasi, karna baru sptnya belum seramai & penuh Drama spt pny nya Om Elon \U0001f601",5
Gak bisa move on dari twitter,3
I like this,5
bagus,5
Bagus,5
Bagus aja,5
Sudah bagus,5
Bagus,5
Up,1
Gw gasadar cy 2018 gw kepencet download akhirnya gw cek di play store gw download langsung gw buka,5
aku download ini hanya untuk liat oshi ku di jkt48 \U0001f601,5
"bikin app kaya gini bisa, tapi bikin double verification biar ga ke unfollow orang kg bisa gmn sih malu udah ke unfollow tmn gw 2 kalian nanti alasan apa lg yg w ksh ke dia \U0001f612",2
aplikasi terpopuler saat ini,5
Tolong berikan sejenis tutorial kegunaan dan cara untuk menggunakan aplikasi ini.. makasih,5
"Thumbnail website tidak tampil. \U0001f44e Padahal sebelumnya baik-baik saja. Pas mengetik, thumbnail awalnya tampil, tapi ketika diunggah, thumbnail berubah menjadi tidak tampil alias hanya berupa link.",1
Lum bisa di buka,4
gajelas. masa yg nongol di timeline malah siapa tau. seleb2 gajelas,1
Update-an terbaru kok aplikasinya ngeleg ya? Jadi gak nyaman buat scroll,4
Bagusnya,5
Tolong app Threads kalau boleh jangan keluarkan diberanda saya akun orang luar negeri yang minta di follow like spam selalu sering lewat beranda threads saya dan lagi ada konten dewasa tolong Threads tampilkan akun atau konten yang bermanfaat dan akun kita orang Indonesia sesuai negara tempat kita tinggal lewat beranda saya,3
"Asyik,mantap",5
hhh,3
Bagus menurutku,5
"threads luar biasa mirip seperti Twitter, dan bisa memberikan pengalaman sosial media yg luar biasa",5
"apk elek, ngajak gelud. gwe di mari !",5
Min kok ini gak bisa buat download foto,2
Apk Gak bergunadan gak penting,1
Tidak akan di cancel,5
BAGUS. TAMBAHKAN FITUR PANGGILAN DAN PEMASANGAN IKLAN GAMBAR DAN PEMUTAR PEMBACA STATUS ATAUPUN KOMENTAR DENGAN BAHASA PERANGKAT PENGGUNA. SEMOGA MENJADI SEDEKAH MASYARAKAT DESAKU DAN KELUARGA BESAR DESAKU DAN BAROKAH.,5
Sepi,1
Great,5
Aplikasi ini ga aman untuk akun dan data data pribadi kita,2
Wahhh keren lebih,5
BAGUS,5
Belum bisa save foto dari postingan. Kalo perlu juga bisa save video dari postingan akun lain.,3
Masih mantau,5
Bagus,5
Please add the feature of switching accounts with one action. Without to log out,3
"Coba dulu, kalau ga becandaan! Gua kasih 2 bintang lagi",3
aku harap bisa login menggunakan email tanpa akun instagram dan login via browser.,1
Please provide the temporarily blocked thread unfollow feature as a warning\U0001f6ab\u203c\ufe0f,2
Tambah hastag,2
Good,4
Lebih easy going sih daripada twt,5
Kurang,1
Cukup keren,3
Bagus,4
jlk,1
Fitur Edit utas belum ada min....,5
Menyenangkan sekali,5
Jipllak. Dan banyak bug,1
So messy,1
"Kita membutuhkan fitur terjemahan, dan juga fitur beralih akun, adain fitur hastag dan fitur download foto juga, semoga saran ini didengarkan agar ini aplikasi bisa semakin berkembang",1
Sangat bagus\U0001f44d\U0001f5ff,5
Aplikasi ini sangat fleksibel dan tidak ribet sehingga membuat para pengguna nyaman menggunakannya,5
"kalau bisa, tambahin fitur translate, soalnya agak susah mau baca yg tulisannya dari negara lain. dimohon untuk di pikir kan ya",3
Aneh bngt kok gabisa buat akun 2 langsung sekaligus yk . Hrus bngt gitu dowload lagi baru buat akun lagi,1
Nggak bisa foto utk di zoomin,5
ASTRi Eilza,5
(y),5
Boring...,1
Nice,5
MEnding twitter,1
Cool,5
Top,5
"Tolong ditambahkan agar bisa ngesave foto yang di share sama temen2 di thread, biar tidak usah screenshot lagi, terimakasih semoga diterima",4
Gaje,1
Lack feature,1
ngebosenin anjrot,1
Buruk,1
"Kalo emang mau balap twitter, gak usah batesin konten dewasa biar rame",1
Ok,5
Oke,5
Unik. Asyik.,5
hubungi saya,2
"klo unggah lagu\xb2 ataau video gk bisa muat panjaang duraasi nyaa ,mohon untuk bisa unggah lebih panjang lagi biaar trend seperti aapk HELO",4
"launching,langsung install,buat akun disini,upload video 2x, bingung mau ngapain lagi, akhirnya uninstall dulu, nunggu perkembangan selanjutnya,kalo ada peningkatan install lagi,klo gak ada ya sudah gak bakal install lagi \U0001f923\U0001f923\U0001f923",2
Boring,1
good,5
ntahlah,1
Membosankan,1
Lumayan interesting,5
mohon diberi fitur simpan seperti di instagram,5
Apk ga guna,1
"Beranda gw isinya bacotan selebgram smua, pdhl gw ga follow mereka, bikin males aja pake ini aplikasi",1
bug forceclose saat unggah foto hd,2
Aplikasi terbaru yang lagi viral,5
"Harus nya sih log in aplikasi nya semua aplikasi meta jangan cuman ig saja,terus kalau bisa ada fitur daftar nya juga.",1
Parah amat tadi akun keluar sendiri,3
Kok gk bisa dibuka \U0001f624\U0001f624\U0001f624,1
Ga bisa delete account \U0001f44e\U0001f3fb,1
Ga bisa download foto /vidio dihh,1
Good,4
nice,5
Buluk zuck,1
Tolong tambahin fitur cerita.,2
Hmmm percobaan,3
Semoga update selanjutnya lebih baik,1
Ada bnyak bug yang perlu di perbarui mulai dari akun yang tautkan di Instagram sama ada bug dngan isi DM saya tdak ada smua.. ini perlu diperbaiki,3
"Kreeen, unik, hebat",5
Ok,5
"ga seru gabisa download foto, trus fotonya burik",2
"lumayan bagus untuk aplikasi sosmed yang baru rilis, cuma masih ada yang harus diperbaiki 1. harusnya ada opsi auto play video yang bisa dimatikan biar hemat kuota 2. tidak ada fitur dm 3. interface yang biasa saja 4. ini yang bikin kalah jauh sama twitter yaitu fitur trending topik yang gak ada di threads.",1
Oke sih tapi masih sepi fitur belum kaya twitter,4
Mark plagiat,5
"Tampilan bagus, game bagus, fitur kurang, saat nembak agak ngeleg, grafikny tolong diperbaiki. Uninstal dulu lah.",1
Kurang menarik,1
Kurang translate nya,4
"BUTUH TRANSLATE!!!!!, CEPET ADAIN TRANSLATE!!",3
Mantap aplikasi nya jangan lupa di follow @supardimsc,5
Ok,5
Ente ini kadang\xb2 ngebug \U0001f5ff,3
Aplikasinya lumayan untuk mengganti Twitter,5
Aplikasinya buruk.. mark tolong hapus aplikasi ini,1
"Aplikasi kasebut keren lan unik, bisa ngganti Twitter",5
Bagusi sih apk nya tapi kagak paham,4
Tokcer,5
Aplikasi bagus dari meta. Tinggal menambahkan fitur terjemahan bahasa untuk postingan dan komentar seperti di Instagram,4
Banyak privasi,1
Pengambilan datanya ga ngotak,1
"Mengapa saat mengunggah foto, fotonya jadi burik?",1
Keren,5
"Why can't threads open on the web like Twitter? My storage is full! If it's possible on the web, it's nice to be able to use a laptop!",5
Setelah saya menggunakan threads akun saya tidak bisa like dan follow orang di instagram.,1
Saya kasih 5 bintang ya daripada bintang 7 pusing kepala \U0001f601,5
"susah buat scrolling beranda, lebih licin in kaya ig dong",2
"Ketika mencoba aplikasi baru, saya kira tidak perlu login dulu, apakah tiktok melakukannya.. saya kira tidak perlu mengunci seseorang dengam login ketika ini adiktif",2
Perfect Apps \U0001f44d,5
"Tolong beri translate pada threads nya saya melihat threads artis korea kesukaan saya,yang pakai hanggul saya gak ngerti\U0001f972\U0001f972\U0001f972\U0001f972\U0001f972\U0001f972",4
knp akun threads ny hrs dtmbhin ke profil ig?!,1
Oke.,4
Aku rasa lebih bagus lagi kalau bisa tanpa terhubung Instagram,2
Seneng Ig bisa buat apk kyk ginii <333,5
Gw beri rating 4 dulu. Kalau makin jelek yaudah kasih rating 2. Klo makin bagus ya kasih 5,4
Makzukebrek berikan saya centang biru,5
Good,5
"Sejauh ini app ringan & mudah digunakan, cuman untuk kolom search masih terbatas sehingga mohon diberikan logika tambahan berupa pencarian kata dari beberapa postingan threads sehingga dpt melakukan pencarian secara luas,, terimakasih",4
Yaa not bad lah ya,5
Minus gaada penerjemah,3
"Aplikasinya keren kok banyak yg bilang lemot..tapi kok saya lancar2 aja ya, keren kok",5
Ok,5
Sangat bagus,5
keren,5
B aj,4
Buruk ga guna,1
Belum ada fitur DM.,3
Excellent to Zuckerberg and team,5
Mantapp,5
"Sudah bagus cuma harus ada beberapa update lanjutan lagi, kita butuh banyak fitur untuk mendukung kami aktif di akun threads .",5
Bagaimana caranya mau menggunakan aplikasi ini. Akun Instagram saya saja di NONAKTIFKAN.,1
please provide the translate feature,3
Mb nya terlalu besar menurut saya,2
mending pakai mastodon,1
Tiba tiba banyak yang login akun ig pas baru buat akun threads...dan skrng ig ku di hack gbisa balik lgi,1
"Ini threads kenapa woyy\U0001f62d Di gue kok hari ketiganya gabisa post foto lagiii,,,padahal pas pertama mau ngepost foto fine fine aj...dari awal emang udah bingung sih mau download ini atau engga. Download ini juga terpaksa gegara bias ngepost di threads akhirnya ikutan. Pleasee buat developer nya perbaikiiiii cevattt gamau tau kalo sampe besok masih ngelag alamat hapus dah,,,",1
Juaraa,5
gabut aja pengen kasi rating bintang 1,1
"Oh ini yg mau kelai sama Elon musk, btw jadi GK sih kelai nya kalo iya gw dukung dua duanya Elon musk vs lizard man (Mark Zuckerberg)",5
Cuma minta beranda di isi sma orng\xb2 yg di follow and follback aja,3
Ini adalah ya Allah aku sedang Ada ada yang ingin Anda bisa yang ingin saya mua saya bisa adalah follow bisa yang ingin Anda karena ya gan bisa bagus saya mua saya masih,4
tolong tambahkan fitur penerjemah,5
Good,5
Scrolnya agak susah mohon dibantu ya mulai seru neh,5
"gara""apk ini akun ig kesayangan saya jadi hilang bener""sy gk habis pikir",1
\U0001f44d,3
Enakan ini daripada Twitter,5
B aja,4
Tidak bisa download foto dan vidio yang di upload,1
Di kasih 3 dulu kalau bagus di tambah lagi,3
cocacolastic,5
Pysusi Gpis Qyhersi IAN Giyeusi,5
Nothing special,1
Beranda gak jelas Standar komunitas sama seperti facebook,1
Good,5
"Saya sebagai pengguna IG, saya udah mencoba aplikasi ini dari bulan ini\u2728 Saya suka sama Threads\U0001f60d Sukses terus ya Mr Zuck\U0001f44f\U0001f44f",5
Kenapa belum di sedia dark mode Mohon di perbaiki versi lebih bagus lagi,3
Cukup,2
butuh fitur translate pake bgt!! butuh fitur buat bisa save foto jugaaa,4
"Ig w ke hack gara"" Ini",2
B aja,3
Menulis,5
Kenapa ID-nya di hapus Auto uninstal,1
Saya menemukan bug Application. Ketika post vidio / foto ukuran besar sangat lemot. Muat berulang kali juga. Harus di compress dulu file nya,2
Elon join,5
Trending nya gk ada\U0001f600,4
Tolong diperketat untuk konten sensitif!! Tolong blokir saja akun yang menampilkan unsur pornografi!!,3
Aplikasi nya bgus tp masih ada beberapa yang harus d tingkatkan,5
Twitter better,1
"ini aplikasi ngeri ngeri sedep jika di kaitkan ig yang utama, banyak banget ke enggak jelasanya, bukanya nyaman malah was was ini, jadi harus hati hati dan enggak aneh aneh, tapi mestio udah hati hati tetep aja kena ban",2
Gk tau pkeknya,1
"harus punya akun Instagram dulu, jujurly merepotkan harus punya 2 sosmed",1
waguasu,1
Rasakan pengalaman tak terbatas\U0001faf0,5
"Bug is not okay to used this aplication, please to rework, and please to down size this aplication.",1
"Buruk, lebih baik Twitter",1
anjojing,1
Jelek,1
gtw mls pgn bli treuk.,4
Bagus sih... Tapi kalau bisa tingkatkan lagi bisa untuk upload dari Instagram langsung bisa masuk ke Threads. Jadi tidak perlu upload dua kali ke Instagram dan Threads. Lebih simpel dan praktis. Seperti buat story dari Instagram ke FB,5
"jelek, ga follow tapi muncul di feeds. balik ke twt aja kalo gini.",1
Lebih menarik kalo di tambah fitur trending dan semacamnya. Jadi bisa tau apa yang sedang ramai di sosial media,4
Tambahkab hastag,1
mantap,5
Foto profil di akun threads belum bisa dilihat,3
scroll glitch,3
Aplikasi Sampah,1
nice,4
Not bad,4
Seruuu,5
"akun Ig ditangguhkan, nggak tau masalah apa, katanya melanggar peraturan, padahal kerjaku cmn ngelike sama nge scroll. udh banyak korbanny",1
Selebgram,1
"Akan lebih bagus jika ditambah fitur baru seperti trending topic dan hastag, itu akan sangat membantu, terimakasih!",3
Aplikasinya bagus dan untuk Elon dan Zuckerberg infokan yang menang siapa dan maklum kalo masih sedikit fitur karena masih dalam pengembangan atau masih aplikasi baru,5
"butuh fitur save foto & translate, kalo perlu trending sama hashtags sekalian",3
Apik sih oke,3
"Ini masih banyak kekurangan, 1. Tidak ada terjemahan padahal yang mengunakan berbagai negara. 2. Tidak bisa mengirim pesan. Catatan: jangan pernah ada iklan di threads supaya tidak menjengkelkan. Cukup Instagram yang banyak iklan threads jangan. Thank you:)",2
"\u0644\u0644\u0647\u0645 \u0635\u0644 \u0639\u0644\u0649 \u0633\u064a\u062f\u0646\u0627 \u0645\u062d\u0645\u062f ""Allah mengujimu kita dengan sesuatu yang kita cintai, maka janganlah berlebihan mencintainya, agar saat sedih tidak berlebihan""",5
Ga bisa di akses sama sekali,1
Tambah kan fitur simpan foto,5
Saya tidak sengaja menghapus lencana treads di ig bagaimana cara untuk saya mengembalikannya,5
TOLONG KEMBALIKAN NOMOR USER PADA PROFIL,2
Plagiat,1
\u2764,5
hapus thread=hapus ig gak tuh,1
Make lite version please,4
"90/100. but how to overcome the mutualan limit how? I have been experiencing a limit for a long time, please answer my question",4
Copyright from Twitter wkwk,4
"Data valid tidak sinkron, alamat dan tipe hp lain antara IG ke Threads nya",1
The app is really cool,5
gak ada translate -_-,3
Id nya ganti,2
Belum bisa memahami tp mencoba untuk memahami,5
"Nyesel gua download, setelah download ini malah akun ig sering kena pelanggaran padahal ga ngapa ngapain, sampe gabisa akses beberapa hari",2
Sangat bagus,5
"Tolong perbaiki bug wktu ngelihat followers dan following akun threads,kdg ga bisa di lihat,di refresh berkali kali ttp ga bisa",3
NGESELIN BANGET GA BISA DI HAPUS HAPUS PADAHAL UDAH NUNGGU DARI KEMARIN,1
min tambahin fitur download nya dong kaya misalkan kita liat foto trs di pojok kiri atas ada downloader nya gitu seperti twitter dan hal sebagainya mohon di baca min..,5
Masih terdapat beberapa bug. Dan belum ada translate bahasa.,3
setelah meng download aplikasi ini akun Instagram saya hilang,1
Threads is good,5
Namanya juga mau mutualan di threads eh malah kena blokir Instagram nya jadi gak bisa maen threads karena melanggar komunitas karena terlalu banyak pengikut dan penyuka dalam satu waktu-_- hadeuhh apasih,2
Bagus,5
Apknya kurang workit buat kita\xb2 yg followers Ig nya pertahun nambah satu soalnya di apk ini yg di rekomendasikan min followersnya 10k ke atas keknya,1
Tidak bisa masuk aplikasi,1
Tolong dibantu untuk yg ga sengaja hapus lencana biar bisa dibantu untuk mendapatkan lencana lagi,1
App yg biasa aja. Cm lbh simple sih.,4
Scrolling aja seret seret bug nya banyak,3
Akun saya kenapa di blokir? padahal ngga ada melanggar rules,1
Kya twitter gk guna maaf yo mark sya uninstal \U0001f602\U0001f602\U0001f602,1
Good,5
Akun ig ak hilang gara\xb2 apk nii,1
keamanan nya cacat,1
Lupa rating:v,5
Keren simpel,5
Kenapa kalau kita hapus threads akun ig ikut ilang,1
Hello Ellon,5
Gak bisa post link bebas seperti twitter,1
"Gak ada tools buat terjemahan bahasa asing, gak bisa save postingan orang, mungkin bisa diperbaiki lagi. Tools penting dari instagram masukin kesini dong",3
Good,5
"Aku gue ke hackkk, ini ga ada keamanan akun apa gimnaaa???",1
"Gimana cara kembalikan lencana thread di bio ig yaa\U0001f62d\U0001f62d\U0001f62d, update dong kembalikan lagiiii",2
Masih banyak Bug,3
"boring feed, it's full of celebrities",1
gatau nih coba dulu hal seh:v,3
Not bad,4
"Jngannn ada yang download lagiii. Akun Ig gw kan ke smbung Ama nii apk. Nah awal"" msi berfungsi normal akun Ig gw, tpi makin lma akun Ig gw gk bisa di masukin lgi.",1
"In advance thanks if you read this. I will give 5 stars if you present the translate feature, I had quite a hard time translating the quote uploaded by my idol, he uses Korean while I only understand Indonesian and also because I only understand a little English.",2
"notifnya telat muncul, pacar saya jadi marah\U0001f605\U0001f448\U0001f595",1
Aplikasi plagiat,1
Bagus,5
Lumayan bagus,5
"Gara gara aplikasi ini, instagram aku ilang",1
Saya udah login aplikasi threads pakai Ig tapi di tolak mungkin karena saya bukan seleb kali \U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e,1
Seneng bgt bisa bergabung disini\U0001f970\u2728,4
Sebenarnya mau kasih bintang lima tapi kali ini 3 aja soalnya pas mau bagi postingan threads di instagram kok nggak bisa pake musik tolong perbaikannya \U0001f60c\U0001f60c\U0001f60c\U0001f60c.,3
apk kok plagiat,1
Make following timeline pls,3
Pas masuk apk malah eror,1
Bio ig menjadi jamet,1
Untuk hp spesifikasi rendah ga layak. Tampilan hancur,1
Ok!!,5
Saya kasih 4 dulu. Karna menurut saya kurang enak kalau berandanya isinya random sama orang yang ga kita follow. Jadi kalo bisa di pisah antara explore sama following,4
Cakep,5
Can you consider make the upside or rotate version of the writing post page ? Because my phone error on the right side so i can't post... the postingan word actualy help than only posting,2
"Ini gmn dah, padahal gk pernah sama sekali ngubah sandi akun. Tapi di bilang mengganti akun. Jadi nya gk bisa masuk",2
Penyontek,1
"Punyaku cuma @ doang gak ada angkanya ,harusnya @123456 Minta solusinya ....",1
Aplikaction terbaik,5
Kok g ada terjemahannya aku mau tau post orang luar g ngerti bahasanya Fiturnya perlu ditambah agar lebih menarik,3
"Sudah mntp sih, cuman kalau saya zoom gambarnya aja selalu otomatis di zoom out pas zoom in nya",4
lizardman lose,1
lumayan,5
"Aplikasi baru wajar memiliki banyak kekurangan atau bug ini itu. Cuma sejauh ini gw belum menikmati aplikasi nya. Lebih enak dan nyaman pake Twitter, You Know What I Mean?\U0001f480 Lebih singkatnya cuma penasaran pake apk ini. Fakyu buat bayar centang biru dan batasan tweet. Bodoamat gw juga bukan org penting yg harus pake verifikasi centang biru",3
Plis Cari NandoFano ya,5
Tidak menarik fiturnya,1
Adain fitur translate pleaseee\U0001f64f\U0001f3fb\U0001f64f\U0001f3fb\U0001f613\U0001f613\U0001f97a,5
Mau posting foto susah bgt keluar Mulu dari aplikasi\U0001f974,4
Plagiat,1
Baguss,5
Adhityofirdausputra,5
Bagus,5
Bintang 1 yang muncul akun verifikasi semua di beranda jadi males gak seperti twitter ada fitur trending,1
Tolong timeline jangan berantakan dong. Sesuaikan dengan waktu update nya dan berurutan,2
Bagus \U0001f44d,5
Sosial Media yang keren!,5
Belum dapat fitur terjemahan.,4
Hapus aja apk lu zukebeg,1
Jelek ni gk ad pokeb ny. Gk kayak yang di sebelah,2
Perbaiki untuk terlihat Followers yang juga mengikuti kita agar lebih transparan dalam Menjalin Hubungan pertemanan.,3
"tolong adain fitur hemat kuota, soalnya threads ini videonya keputer otomatis dan bikin boros kuota.",5
bagus sekali,5
\U0001f44d\U0001f3fb\U0001f64f\U0001f3fb,5
Sistem berteman aplikasi ini berdasakan following kita di instagram ya? Jadi ketika ada follwing kita buat akun threads otomatis ikuti akun threadsnya?,4
Ok,4
"Thanks threads,this awesome app",4
"Baru download tapi gak bisa masuk, padahal akun Instagram sudah punya, gimana ini?",1
Mr.Elon Musk mulai gusar wkwk \U0001f602 Blue sky sendiri 11-12 dengan Twitter LOL,3
Ayo om zuck saya pendukung mu om Moga bg elon modar sekali tonjok sama lu om,5
"Untuk login tidak bisa berulang kali sudah masukin kata sandi , kata sandi tidak cook",1
Bug,2
Ini aplikasinya kenapa ya! padahal saya tidak ada follow orang tapi di notifikasi threads yang masuk ke saya kok saya bisa follow seseorang apakah memang seperti itukah? untuk loginnya juga menurut saya bisa di pisahkan saja kenapa harus di tautkan dgn aplikasi Instagram kenapa tidak di bikin login nya terpisah aja mungkin login nya bisa di buat menggunakan google atau kata sandi aja tersendiri? Jika mau menautkan aku Instagramnya mungkin bisa melalui pengaturan di aplikasi saja..,1
Good,4
Cencorship everywhere,1
Tolong adakan trending topic,5
Aku Dowload kenapa Tidak bisa dibuka Aplikasinya Kenapa ya padahak sinyak bagus \U0001f634\U0001f634\U0001f634,1
"Kasih 4 dulu karena di akun threads ku g bisa up foto atau vidio, padahal banyak tmn"" ku ko tetap sepi, apakah karena ngebug?",4
gak tau gunanya untuk apa,1
"Threads Tolong dong terjemahannya..,& Dark modenya,,,. oke aku akan tetap menunggu :)",5
"aplikasinya bagus, tapi akan lebih baik bisa diberikan fitur yang bisa ngeliat siapa yang gk follback kita, terus jangan terlalu dibatasi kegiatan kita seperti ngecek"" followers tiba"" eror gk bisa di cek lg hrus nunggu beberapa jam baru bisa baik lagi",4
"Bagus, cuman belum banyak penggunanya aja...optimalkan fungsi"" baru",5
"Mudah ringan dan simple penggunaan nya, kerennn kayanya bakal jd tren baru nih",5
Bagus aku suka fitur-fitur nya,5
"Aplikasi koplak, Sok nyaingi twiter tapi bikin akun ke hack sama logout sendiri.",1
Sejauh ini bagus bangett...,5
Selalu ke force close setiap mau upload foto. Sudah laporin masalah tapi masih begitu juga.,1
Aplikasi baru dan konten tekstual yang buat orang-orang gak melulu konten foto dan video...,5
"Yang ulasannya punya masalah, kekurangan, ini, dan itu, itu wajar karena masih blum dapet satu tahun pas launching. Masih ada perbaikan sana sini, dan butuh waktu juga agar threads bisa dibilang sempurna dari user\xb2 nya",4
GARA GARA DIA AKUN IG AKU DI HACK NAJIS,1
Bagus,5
Keren,5
"Saya menemukan bug dimana saat melihat foto / video yang tampil di beranda maupun di akun orang lain, media tersebut tidak mau memperlihatkan gambar ataupun video padahal koneksi internet saya sangat teramat lancar.",4
Kok aplikasi nya sama kaya Twitter ya \U0001f5ff\U0001f5ff\U0001f5ff\U0001f5ff\U0001f5ff,5
Bagus aplikasinya,5
Bagus banget,5
"Nice, zuck",5
we need translate fitur,4
bug,2
Bikin akun ke hack,1
Bagus,5
Untuk upload foto atau fidio sering keluar sendiri di aplikasi Threads tolong di perbaiki lagi soalnya aplikasi ini baru locing aku pun baru bikin akun threads,2
"Masih Penggguna Awal,, Lumayan Bagus sih... \U0001f602\U0001f970\U0001f970\U0001f970",5
Good,5
seruu,5
"mau kasih saran nih kasih translate/terjemahan buat yang kek bahasa Korea atau Inggris, buat orang yang gk tau bahasanya di update lagi, biar bnyak yang dowload. terimakasih",4
Algoritme nya kacau.,3
"Link terjemahan caption nya belum ada, semoga di maksimal kan",4
Please the video in the threads has sound \U0001f64f\U0001f44d,4
Pesaing baru twitter,4
"Enakkan Twitter masih bisa bebas berpendapat, percuma post kalau di batasi kebebasan berpendapat. Fitur yg memang gak mungkin didapatkan di apk ini dan hanya dimiliki Twitter hehe",1
Baru sih. Coba dulu,5
Bagus,5
Mantap keren,5
Bagus,4
Akun gabisa dihapus gajelas,1
"ASTAGHFIRULLAH AKUN INSTAGRAM GWE KE HACK, PASSWORNYA JUGA DIGANTI",1
Home threads tidak bisa perbaharui kabar terbaru selalu begini,2
Bagus sih tapi sayang masih banyak error dan bug,3
Kurang fitur download gambar dan video,4
Pas pasan,3
Ig gw jadi ngelag+error anjj,1
Ngikut aja,1
Gg,5
"Aplikasi bagus dan mudah dipahami untuk pengguna pemula, tampilan nya mirip mirip Instagram kerennn, lucuuu gitu\u2728",5
kekuranganya di apk ini tidak bisa mencari sebuah postingan. beda dengan twiiter,2
"ada pengucapan kata yang salah saat mau login di Threads.. tolong diperbaiki, terima kasih",2
Bagus,4
Masih terlalu sedikit fiturnya,3
Aplikasi ini mesih banyak bug nya yah Masa aku udah mengikuti ko ga bisa yah keriset lagi terus kalo ngetik hurufnya hilang tolong ini min diperbaiki,1
Bagus ko su,5
Fun sekali,4
Pengen daftar thread app aja masa harus punya ig dulu,1
Ngebug,1
"Awal yang bagus utk pertama kali, tapi sungguh di sayangkan terlalu banyak Bug, hingga memakan banyak memori",3
"Bagus, mirip Twitter",5
