Content,Rating,Category Level,Category
"bikin app kaya gini bisa, tapi bikin double verification biar ga ke unfollow orang kg bisa gmn sih malu udah ke unfollow tmn gw 2 kalian nanti alasan apa lg yg w ksh ke dia \U0001f612",2,-1,Negatif
aplikasi terpopuler saat ini,5,1,Positif
Tolong berikan sejenis tutorial kegunaan dan cara untuk menggunakan aplikasi ini.. makasih,5,1,Positif
"Thumbnail website tidak tampil. \U0001f44e Padahal sebelumnya baik-baik saja. Pas mengetik, thumbnail awalnya tampil, tapi ketika diunggah, thumbnail berubah menjadi tidak tampil alias hanya berupa link.",1,-1,Negatif
Lum bisa di buka,4,1,Positif
gajelas. masa yg nongol di timeline malah siapa tau. seleb2 gajelas,1,-1,Negatif
Update-an terbaru kok aplikasinya ngeleg ya? Jadi gak nyaman buat scroll,4,1,Positif
Bagusnya,5,1,Positif
Tolong app Threads kalau boleh jangan keluarkan diberanda saya akun orang luar negeri yang minta di follow like spam selalu sering lewat beranda threads saya dan lagi ada konten dewasa tolong Threads tampilkan akun atau konten yang bermanfaat dan akun kita orang Indonesia sesuai negara tempat kita tinggal lewat beranda saya,3,0,Netral
"Asyik,mantap",5,1,Positif
hhh,3,0,Netral
Bagus menurutku,5,1,Positif
"threads luar biasa mirip seperti Twitter, dan bisa memberikan pengalaman sosial media yg luar biasa",5,1,Positif
"apk elek, ngajak gelud. gwe di mari !",5,1,Positif
Min kok ini gak bisa buat download foto,2,-1,Negatif
Apk Gak bergunadan gak penting,1,-1,Negatif
Tidak akan di cancel,5,1,Positif
BAGUS. TAMBAHKAN FITUR PANGGILAN DAN PEMASANGAN IKLAN GAMBAR DAN PEMUTAR PEMBACA STATUS ATAUPUN KOMENTAR DENGAN BAHASA PERANGKAT PENGGUNA. SEMOGA MENJADI SEDEKAH MASYARAKAT DESAKU DAN KELUARGA BESAR DESAKU DAN BAROKAH.,5,1,Positif
Sepi,1,-1,Negatif
Great,5,1,Positif
Aplikasi ini ga aman untuk akun dan data data pribadi kita,2,-1,Negatif
Wahhh keren lebih,5,1,Positif
BAGUS,5,1,Positif
Belum bisa save foto dari postingan. Kalo perlu juga bisa save video dari postingan akun lain.,3,0,Netral
Masih mantau,5,1,Positif
Bagus,5,1,Positif
Please add the feature of switching accounts with one action. Without to log out,3,0,Netral
"Coba dulu, kalau ga becandaan! Gua kasih 2 bintang lagi",3,0,Netral
aku harap bisa login menggunakan email tanpa akun instagram dan login via browser.,1,-1,Negatif
Please provide the temporarily blocked thread unfollow feature as a warning\U0001f6ab\u203c\ufe0f,2,-1,Negatif
Tambah hastag,2,-1,Negatif
Good,4,1,Positif
Lebih easy going sih daripada twt,5,1,Positif
Kurang,1,-1,Negatif
Cukup keren,3,0,Netral
Bagus,4,1,Positif
jlk,1,-1,Negatif
Fitur Edit utas belum ada min....,5,1,Positif
Menyenangkan sekali,5,1,Positif
Jipllak. Dan banyak bug,1,-1,Negatif
So messy,1,-1,Negatif
"Kita membutuhkan fitur terjemahan, dan juga fitur beralih akun, adain fitur hastag dan fitur download foto juga, semoga saran ini didengarkan agar ini aplikasi bisa semakin berkembang",1,-1,Negatif
Sangat bagus\U0001f44d\U0001f5ff,5,1,Positif
Aplikasi ini sangat fleksibel dan tidak ribet sehingga membuat para pengguna nyaman menggunakannya,5,1,Positif
"kalau bisa, tambahin fitur translate, soalnya agak susah mau baca yg tulisannya dari negara lain. dimohon untuk di pikir kan ya",3,0,Netral
Aneh bngt kok gabisa buat akun 2 langsung sekaligus yk . Hrus bngt gitu dowload lagi baru buat akun lagi,1,-1,Negatif
Nggak bisa foto utk di zoomin,5,1,Positif
ASTRi Eilza,5,1,Positif
(y),5,1,Positif
Boring...,1,-1,Negatif
Nice,5,1,Positif
MEnding twitter,1,-1,Negatif
Cool,5,1,Positif
Top,5,1,Positif
"Tolong ditambahkan agar bisa ngesave foto yang di share sama temen2 di thread, biar tidak usah screenshot lagi, terimakasih semoga diterima",4,1,Positif
Gaje,1,-1,Negatif
Lack feature,1,-1,Negatif
ngebosenin anjrot,1,-1,Negatif
Buruk,1,-1,Negatif
"Kalo emang mau balap twitter, gak usah batesin konten dewasa biar rame",1,-1,Negatif
Ok,5,1,Positif
Oke,5,1,Positif
Unik. Asyik.,5,1,Positif
hubungi saya,2,-1,Negatif
"klo unggah lagu\xb2 ataau video gk bisa muat panjaang duraasi nyaa ,mohon untuk bisa unggah lebih panjang lagi biaar trend seperti aapk HELO",4,1,Positif
"launching,langsung install,buat akun disini,upload video 2x, bingung mau ngapain lagi, akhirnya uninstall dulu, nunggu perkembangan selanjutnya,kalo ada peningkatan install lagi,klo gak ada ya sudah gak bakal install lagi \U0001f923\U0001f923\U0001f923",2,-1,Negatif
Boring,1,-1,Negatif
good,5,1,Positif
ntahlah,1,-1,Negatif
Membosankan,1,-1,Negatif
Lumayan interesting,5,1,Positif
mohon diberi fitur simpan seperti di instagram,5,1,Positif
Apk ga guna,1,-1,Negatif
"Beranda gw isinya bacotan selebgram smua, pdhl gw ga follow mereka, bikin males aja pake ini aplikasi",1,-1,Negatif
bug forceclose saat unggah foto hd,2,-1,Negatif
Aplikasi terbaru yang lagi viral,5,1,Positif
"Harus nya sih log in aplikasi nya semua aplikasi meta jangan cuman ig saja,terus kalau bisa ada fitur daftar nya juga.",1,-1,Negatif
Parah amat tadi akun keluar sendiri,3,0,Netral
Kok gk bisa dibuka \U0001f624\U0001f624\U0001f624,1,-1,Negatif
Ga bisa delete account \U0001f44e\U0001f3fb,1,-1,Negatif
Ga bisa download foto /vidio dihh,1,-1,Negatif
Good,4,1,Positif
nice,5,1,Positif
Buluk zuck,1,-1,Negatif
Tolong tambahin fitur cerita.,2,-1,Negatif
Hmmm percobaan,3,0,Netral
Semoga update selanjutnya lebih baik,1,-1,Negatif
Ada bnyak bug yang perlu di perbarui mulai dari akun yang tautkan di Instagram sama ada bug dngan isi DM saya tdak ada smua.. ini perlu diperbaiki,3,0,Netral
"Kreeen, unik, hebat",5,1,Positif
Ok,5,1,Positif
"ga seru gabisa download foto, trus fotonya burik",2,-1,Negatif
"lumayan bagus untuk aplikasi sosmed yang baru rilis, cuma masih ada yang harus diperbaiki 1. harusnya ada opsi auto play video yang bisa dimatikan biar hemat kuota 2. tidak ada fitur dm 3. interface yang biasa saja 4. ini yang bikin kalah jauh sama twitter yaitu fitur trending topik yang gak ada di threads.",1,-1,Negatif
Oke sih tapi masih sepi fitur belum kaya twitter,4,1,Positif
Mark plagiat,5,1,Positif
"Tampilan bagus, game bagus, fitur kurang, saat nembak agak ngeleg, grafikny tolong diperbaiki. Uninstal dulu lah.",1,-1,Negatif
Kurang menarik,1,-1,Negatif
Kurang translate nya,4,1,Positif
"BUTUH TRANSLATE!!!!!, CEPET ADAIN TRANSLATE!!",3,0,Netral
Mantap aplikasi nya jangan lupa di follow @supardimsc,5,1,Positif
Ok,5,1,Positif
Ente ini kadang\xb2 ngebug \U0001f5ff,3,0,Netral
Aplikasinya lumayan untuk mengganti Twitter,5,1,Positif
Aplikasinya buruk.. mark tolong hapus aplikasi ini,1,-1,Negatif
"Aplikasi kasebut keren lan unik, bisa ngganti Twitter",5,1,Positif
Bagusi sih apk nya tapi kagak paham,4,1,Positif
Tokcer,5,1,Positif
Aplikasi bagus dari meta. Tinggal menambahkan fitur terjemahan bahasa untuk postingan dan komentar seperti di Instagram,4,1,Positif
Banyak privasi,1,-1,Negatif
Pengambilan datanya ga ngotak,1,-1,Negatif
"Mengapa saat mengunggah foto, fotonya jadi burik?",1,-1,Negatif
Keren,5,1,Positif
"Why can't threads open on the web like Twitter? My storage is full! If it's possible on the web, it's nice to be able to use a laptop!",5,1,Positif
Setelah saya menggunakan threads akun saya tidak bisa like dan follow orang di instagram.,1,-1,Negatif
Saya kasih 5 bintang ya daripada bintang 7 pusing kepala \U0001f601,5,1,Positif
"susah buat scrolling beranda, lebih licin in kaya ig dong",2,-1,Negatif
"Ketika mencoba aplikasi baru, saya kira tidak perlu login dulu, apakah tiktok melakukannya.. saya kira tidak perlu mengunci seseorang dengam login ketika ini adiktif",2,-1,Negatif
Perfect Apps \U0001f44d,5,1,Positif
"Tolong beri translate pada threads nya saya melihat threads artis korea kesukaan saya,yang pakai hanggul saya gak ngerti\U0001f972\U0001f972\U0001f972\U0001f972\U0001f972\U0001f972",4,1,Positif
knp akun threads ny hrs dtmbhin ke profil ig?!,1,-1,Negatif
Oke.,4,1,Positif
Aku rasa lebih bagus lagi kalau bisa tanpa terhubung Instagram,2,-1,Negatif
Seneng Ig bisa buat apk kyk ginii <333,5,1,Positif
Gw beri rating 4 dulu. Kalau makin jelek yaudah kasih rating 2. Klo makin bagus ya kasih 5,4,1,Positif
Makzukebrek berikan saya centang biru,5,1,Positif
Good,5,1,Positif
"Sejauh ini app ringan & mudah digunakan, cuman untuk kolom search masih terbatas sehingga mohon diberikan logika tambahan berupa pencarian kata dari beberapa postingan threads sehingga dpt melakukan pencarian secara luas,, terimakasih",4,1,Positif
Yaa not bad lah ya,5,1,Positif
Minus gaada penerjemah,3,0,Netral
"Aplikasinya keren kok banyak yg bilang lemot..tapi kok saya lancar2 aja ya, keren kok",5,1,Positif
Ok,5,1,Positif
Sangat bagus,5,1,Positif
keren,5,1,Positif
B aj,4,1,Positif
Buruk ga guna,1,-1,Negatif
Belum ada fitur DM.,3,0,Netral
Excellent to Zuckerberg and team,5,1,Positif
Mantapp,5,1,Positif
"Sudah bagus cuma harus ada beberapa update lanjutan lagi, kita butuh banyak fitur untuk mendukung kami aktif di akun threads .",5,1,Positif
Bagaimana caranya mau menggunakan aplikasi ini. Akun Instagram saya saja di NONAKTIFKAN.,1,-1,Negatif
please provide the translate feature,3,0,Netral
Mb nya terlalu besar menurut saya,2,-1,Negatif
mending pakai mastodon,1,-1,Negatif
Tiba tiba banyak yang login akun ig pas baru buat akun threads...dan skrng ig ku di hack gbisa balik lgi,1,-1,Negatif
"Ini threads kenapa woyy\U0001f62d Di gue kok hari ketiganya gabisa post foto lagiii,,,padahal pas pertama mau ngepost foto fine fine aj...dari awal emang udah bingung sih mau download ini atau engga. Download ini juga terpaksa gegara bias ngepost di threads akhirnya ikutan. Pleasee buat developer nya perbaikiiiii cevattt gamau tau kalo sampe besok masih ngelag alamat hapus dah,,,",1,-1,Negatif
Juaraa,5,1,Positif
gabut aja pengen kasi rating bintang 1,1,-1,Negatif
"Oh ini yg mau kelai sama Elon musk, btw jadi GK sih kelai nya kalo iya gw dukung dua duanya Elon musk vs lizard man (Mark Zuckerberg)",5,1,Positif
Cuma minta beranda di isi sma orng\xb2 yg di follow and follback aja,3,0,Netral
Ini adalah ya Allah aku sedang Ada ada yang ingin Anda bisa yang ingin saya mua saya bisa adalah follow bisa yang ingin Anda karena ya gan bisa bagus saya mua saya masih,4,1,Positif
tolong tambahkan fitur penerjemah,5,1,Positif
Good,5,1,Positif
Scrolnya agak susah mohon dibantu ya mulai seru neh,5,1,Positif
"gara""apk ini akun ig kesayangan saya jadi hilang bener""sy gk habis pikir",1,-1,Negatif
\U0001f44d,3,0,Netral
Enakan ini daripada Twitter,5,1,Positif
B aja,4,1,Positif
Tidak bisa download foto dan vidio yang di upload,1,-1,Negatif
Di kasih 3 dulu kalau bagus di tambah lagi,3,0,Netral
cocacolastic,5,1,Positif
Pysusi Gpis Qyhersi IAN Giyeusi,5,1,Positif
Nothing special,1,-1,Negatif
Beranda gak jelas Standar komunitas sama seperti facebook,1,-1,Negatif
Good,5,1,Positif
"Saya sebagai pengguna IG, saya udah mencoba aplikasi ini dari bulan ini\u2728 Saya suka sama Threads\U0001f60d Sukses terus ya Mr Zuck\U0001f44f\U0001f44f",5,1,Positif
Kenapa belum di sedia dark mode Mohon di perbaiki versi lebih bagus lagi,3,0,Netral
Cukup,2,-1,Negatif
butuh fitur translate pake bgt!! butuh fitur buat bisa save foto jugaaa,4,1,Positif
"Ig w ke hack gara"" Ini",2,-1,Negatif
B aja,3,0,Netral
Menulis,5,1,Positif
Kenapa ID-nya di hapus Auto uninstal,1,-1,Negatif
Saya menemukan bug Application. Ketika post vidio / foto ukuran besar sangat lemot. Muat berulang kali juga. Harus di compress dulu file nya,2,-1,Negatif
Elon join,5,1,Positif
Trending nya gk ada\U0001f600,4,1,Positif
Tolong diperketat untuk konten sensitif!! Tolong blokir saja akun yang menampilkan unsur pornografi!!,3,0,Netral
Aplikasi nya bgus tp masih ada beberapa yang harus d tingkatkan,5,1,Positif
Twitter better,1,-1,Negatif
"ini aplikasi ngeri ngeri sedep jika di kaitkan ig yang utama, banyak banget ke enggak jelasanya, bukanya nyaman malah was was ini, jadi harus hati hati dan enggak aneh aneh, tapi mestio udah hati hati tetep aja kena ban",2,-1,Negatif
Gk tau pkeknya,1,-1,Negatif
"harus punya akun Instagram dulu, jujurly merepotkan harus punya 2 sosmed",1,-1,Negatif
waguasu,1,-1,Negatif
Rasakan pengalaman tak terbatas\U0001faf0,5,1,Positif
"Bug is not okay to used this aplication, please to rework, and please to down size this aplication.",1,-1,Negatif
"Buruk, lebih baik Twitter",1,-1,Negatif
anjojing,1,-1,Negatif
Jelek,1,-1,Negatif
gtw mls pgn bli treuk.,4,1,Positif
Bagus sih... Tapi kalau bisa tingkatkan lagi bisa untuk upload dari Instagram langsung bisa masuk ke Threads. Jadi tidak perlu upload dua kali ke Instagram dan Threads. Lebih simpel dan praktis. Seperti buat story dari Instagram ke FB,5,1,Positif
"jelek, ga follow tapi muncul di feeds. balik ke twt aja kalo gini.",1,-1,Negatif
Lebih menarik kalo di tambah fitur trending dan semacamnya. Jadi bisa tau apa yang sedang ramai di sosial media,4,1,Positif
Tambahkab hastag,1,-1,Negatif
mantap,5,1,Positif
Foto profil di akun threads belum bisa dilihat,3,0,Netral
scroll glitch,3,0,Netral
Aplikasi Sampah,1,-1,Negatif
nice,4,1,Positif
Not bad,4,1,Positif
Seruuu,5,1,Positif
"akun Ig ditangguhkan, nggak tau masalah apa, katanya melanggar peraturan, padahal kerjaku cmn ngelike sama nge scroll. udh banyak korbanny",1,-1,Negatif
Selebgram,1,-1,Negatif
"Akan lebih bagus jika ditambah fitur baru seperti trending topic dan hastag, itu akan sangat membantu, terimakasih!",3,0,Netral
Aplikasinya bagus dan untuk Elon dan Zuckerberg infokan yang menang siapa dan maklum kalo masih sedikit fitur karena masih dalam pengembangan atau masih aplikasi baru,5,1,Positif
"butuh fitur save foto & translate, kalo perlu trending sama hashtags sekalian",3,0,Netral
Apik sih oke,3,0,Netral
"Ini masih banyak kekurangan, 1. Tidak ada terjemahan padahal yang mengunakan berbagai negara. 2. Tidak bisa mengirim pesan. Catatan: jangan pernah ada iklan di threads supaya tidak menjengkelkan. Cukup Instagram yang banyak iklan threads jangan. Thank you:)",2,-1,Negatif
"\u0644\u0644\u0647\u0645 \u0635\u0644 \u0639\u0644\u0649 \u0633\u064a\u062f\u0646\u0627 \u0645\u062d\u0645\u062f ""Allah mengujimu kita dengan sesuatu yang kita cintai, maka janganlah berlebihan mencintainya, agar saat sedih tidak berlebihan""",5,1,Positif
Ga bisa di akses sama sekali,1,-1,Negatif
Tambah kan fitur simpan foto,5,1,Positif
Saya tidak sengaja menghapus lencana treads di ig bagaimana cara untuk saya mengembalikannya,5,1,Positif
TOLONG KEMBALIKAN NOMOR USER PADA PROFIL,2,-1,Negatif
Plagiat,1,-1,Negatif
\u2764,5,1,Positif
hapus thread=hapus ig gak tuh,1,-1,Negatif
Make lite version please,4,1,Positif
"90/100. but how to overcome the mutualan limit how? I have been experiencing a limit for a long time, please answer my question",4,1,Positif
Copyright from Twitter wkwk,4,1,Positif
"Data valid tidak sinkron, alamat dan tipe hp lain antara IG ke Threads nya",1,-1,Negatif
The app is really cool,5,1,Positif
gak ada translate -_-,3,0,Netral
Id nya ganti,2,-1,Negatif
Belum bisa memahami tp mencoba untuk memahami,5,1,Positif
"Nyesel gua download, setelah download ini malah akun ig sering kena pelanggaran padahal ga ngapa ngapain, sampe gabisa akses beberapa hari",2,-1,Negatif
Sangat bagus,5,1,Positif
"Tolong perbaiki bug wktu ngelihat followers dan following akun threads,kdg ga bisa di lihat,di refresh berkali kali ttp ga bisa",3,0,Netral
NGESELIN BANGET GA BISA DI HAPUS HAPUS PADAHAL UDAH NUNGGU DARI KEMARIN,1,-1,Negatif
min tambahin fitur download nya dong kaya misalkan kita liat foto trs di pojok kiri atas ada downloader nya gitu seperti twitter dan hal sebagainya mohon di baca min..,5,1,Positif
Masih terdapat beberapa bug. Dan belum ada translate bahasa.,3,0,Netral
setelah meng download aplikasi ini akun Instagram saya hilang,1,-1,Negatif
Threads is good,5,1,Positif
Namanya juga mau mutualan di threads eh malah kena blokir Instagram nya jadi gak bisa maen threads karena melanggar komunitas karena terlalu banyak pengikut dan penyuka dalam satu waktu-_- hadeuhh apasih,2,-1,Negatif
Bagus,5,1,Positif
Apknya kurang workit buat kita\xb2 yg followers Ig nya pertahun nambah satu soalnya di apk ini yg di rekomendasikan min followersnya 10k ke atas keknya,1,-1,Negatif
Tidak bisa masuk aplikasi,1,-1,Negatif
Tolong dibantu untuk yg ga sengaja hapus lencana biar bisa dibantu untuk mendapatkan lencana lagi,1,-1,Negatif
App yg biasa aja. Cm lbh simple sih.,4,1,Positif
Scrolling aja seret seret bug nya banyak,3,0,Netral
Akun saya kenapa di blokir? padahal ngga ada melanggar rules,1,-1,Negatif
Kya twitter gk guna maaf yo mark sya uninstal \U0001f602\U0001f602\U0001f602,1,-1,Negatif
Good,5,1,Positif
Akun ig ak hilang gara\xb2 apk nii,1,-1,Negatif
keamanan nya cacat,1,-1,Negatif
Lupa rating:v,5,1,Positif
Keren simpel,5,1,Positif
Kenapa kalau kita hapus threads akun ig ikut ilang,1,-1,Negatif
Hello Ellon,5,1,Positif
Gak bisa post link bebas seperti twitter,1,-1,Negatif
"Gak ada tools buat terjemahan bahasa asing, gak bisa save postingan orang, mungkin bisa diperbaiki lagi. Tools penting dari instagram masukin kesini dong",3,0,Netral
Good,5,1,Positif
"Aku gue ke hackkk, ini ga ada keamanan akun apa gimnaaa???",1,-1,Negatif
"Gimana cara kembalikan lencana thread di bio ig yaa\U0001f62d\U0001f62d\U0001f62d, update dong kembalikan lagiiii",2,-1,Negatif
Masih banyak Bug,3,0,Netral
"boring feed, it's full of celebrities",1,-1,Negatif
gatau nih coba dulu hal seh:v,3,0,Netral
Not bad,4,1,Positif
"Jngannn ada yang download lagiii. Akun Ig gw kan ke smbung Ama nii apk. Nah awal"" msi berfungsi normal akun Ig gw, tpi makin lma akun Ig gw gk bisa di masukin lgi.",1,-1,Negatif
"In advance thanks if you read this. I will give 5 stars if you present the translate feature, I had quite a hard time translating the quote uploaded by my idol, he uses Korean while I only understand Indonesian and also because I only understand a little English.",2,-1,Negatif
"notifnya telat muncul, pacar saya jadi marah\U0001f605\U0001f448\U0001f595",1,-1,Negatif
Aplikasi plagiat,1,-1,Negatif
Bagus,5,1,Positif
Lumayan bagus,5,1,Positif
"Gara gara aplikasi ini, instagram aku ilang",1,-1,Negatif
Saya udah login aplikasi threads pakai Ig tapi di tolak mungkin karena saya bukan seleb kali \U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e\U0001f44e,1,-1,Negatif
Seneng bgt bisa bergabung disini\U0001f970\u2728,4,1,Positif
Sebenarnya mau kasih bintang lima tapi kali ini 3 aja soalnya pas mau bagi postingan threads di instagram kok nggak bisa pake musik tolong perbaikannya \U0001f60c\U0001f60c\U0001f60c\U0001f60c.,3,0,Netral
apk kok plagiat,1,-1,Negatif
Make following timeline pls,3,0,Netral
Pas masuk apk malah eror,1,-1,Negatif
Bio ig menjadi jamet,1,-1,Negatif
Untuk hp spesifikasi rendah ga layak. Tampilan hancur,1,-1,Negatif
Ok!!,5,1,Positif
Saya kasih 4 dulu. Karna menurut saya kurang enak kalau berandanya isinya random sama orang yang ga kita follow. Jadi kalo bisa di pisah antara explore sama following,4,1,Positif
Cakep,5,1,Positif
Can you consider make the upside or rotate version of the writing post page ? Because my phone error on the right side so i can't post... the postingan word actualy help than only posting,2,-1,Negatif
"Ini gmn dah, padahal gk pernah sama sekali ngubah sandi akun. Tapi di bilang mengganti akun. Jadi nya gk bisa masuk",2,-1,Negatif
Penyontek,1,-1,Negatif
"Punyaku cuma @ doang gak ada angkanya ,harusnya @123456 Minta solusinya ....",1,-1,Negatif
Aplikaction terbaik,5,1,Positif
Kok g ada terjemahannya aku mau tau post orang luar g ngerti bahasanya Fiturnya perlu ditambah agar lebih menarik,3,0,Netral
"Sudah mntp sih, cuman kalau saya zoom gambarnya aja selalu otomatis di zoom out pas zoom in nya",4,1,Positif
lizardman lose,1,-1,Negatif
lumayan,5,1,Positif
"Aplikasi baru wajar memiliki banyak kekurangan atau bug ini itu. Cuma sejauh ini gw belum menikmati aplikasi nya. Lebih enak dan nyaman pake Twitter, You Know What I Mean?\U0001f480 Lebih singkatnya cuma penasaran pake apk ini. Fakyu buat bayar centang biru dan batasan tweet. Bodoamat gw juga bukan org penting yg harus pake verifikasi centang biru",3,0,Netral
Plis Cari NandoFano ya,5,1,Positif
Tidak menarik fiturnya,1,-1,Negatif
Adain fitur translate pleaseee\U0001f64f\U0001f3fb\U0001f64f\U0001f3fb\U0001f613\U0001f613\U0001f97a,5,1,Positif
Mau posting foto susah bgt keluar Mulu dari aplikasi\U0001f974,4,1,Positif
Plagiat,1,-1,Negatif
Baguss,5,1,Positif
Adhityofirdausputra,5,1,Positif
Bagus,5,1,Positif
Bintang 1 yang muncul akun verifikasi semua di beranda jadi males gak seperti twitter ada fitur trending,1,-1,Negatif
Tolong timeline jangan berantakan dong. Sesuaikan dengan waktu update nya dan berurutan,2,-1,Negatif
Bagus \U0001f44d,5,1,Positif
